acc,city,licence
463823,MUNDELEIN,Pharmaceutical Representative
367279,CHICAGO,Regulated Business License
386183,CHICAGO,Consumption on Premises - Incidental Activity
367187,CHICAGO,Retail Food Establishment
85958,CHICAGO,Manufacturing Establishments
463585,CHICAGO,Limited Business License
29300,CHICAGO,Tavern
24656,CHICAGO,Manufacturing Establishments
210491,CHICAGO,Regulated Business License
349705,GLENVIEW,Regulated Business License
385149,CHICAGO,Retail Food Establishment
249956,CHICAGO,Peddler License
422299,CHICAGO,Consumption on Premises - Incidental Activity
386388,CHICAGO,Limited Business License
423247,CHICAGO,Outdoor Patio
362928,CHICAGO,Limited Business License
246527,CHICAGO,Limited Business License
318192,CHICAGO,Regulated Business License
402427,CHICAGO,Regulated Business License
332529,CHICAGO,Limited Business License
460617,CHICAGO,Retail Food Establishment
24872,CHICAGO,Music and Dance
46876,CHICAGO,Limited Business License
400968,CHICAGO,Retail Food Establishment
386297,CHICAGO,Regulated Business License
422268,CHICAGO,Limited Business License
343886,CHICAGO,Limited Business License
282752,CHICAGO,Regulated Business License
18757,CHICAGO,Retail Food Establishment
11065,CHICAGO,Regulated Business License
278702,CHICAGO,Outdoor Patio
402175,ST. LOUIS,Explosives
34609,CHICAGO,Limited Business License
321569,CHICAGO,Limited Business License
217232,CHICAGO,Limited Business License
463832,LAKE FORESET,Regulated Business License
463609,CHICAGO,Limited Business License
23432,CHICAGO,Retail Food Establishment
422350,CHICAGO,Limited Business License
459219,CHICAGO,Consumption on Premises - Incidental Activity
242795,CHICAGO,Retail Food Establishment
36701,CHICAGO,Limited Business License
362556,CHICAGO,Retail Food Establishment
214098,CHICAGO,Peddler License
422369,NAPERVILLE,Pharmaceutical Representative
313337,CHICAGO,Consumption on Premises - Incidental Activity
16662,CHICAGO,Tobacco
411811,CHICAGO,Limited Business License
324670,CHICAGO,Package Goods
341566,CHICAGO,Children's Services Facility License
385896,CHICAGO,Limited Business License
463875,CHICAGO,Regulated Business License
345112,CHICAGO,Regulated Business License
291519,CHICAGO,Regulated Business License
23695,CHICAGO,Limited Business License
461003,CHICAGO,Children's Services Facility License
31824,CHICAGO,Motor Vehicle Services License
14829,CHICAGO,Consumption on Premises - Incidental Activity
35861,CHICAGO,Manufacturing Establishments
203397,CHICAGO,Retail Food Establishment
302227,CHICAGO,Limited Business License
4316,CHICAGO,Limited Business License
63979,CHICAGO,Retail Food Establishment
11071,CHICAGO,Retail Food Establishment
287472,CHICAGO,Limited Business License
341168,CHICAGO,Limited Business License
462361,CHICAGO,Retail Food Establishment
397447,CHICAGO,Consumption on Premises - Incidental Activity
348925,CHICAGO,Limited Business License
418334,CHICAGO,Package Goods
385560,CHICAGO,Package Goods
340381,CHICAGO,Consumption on Premises - Incidental Activity
262794,CHICAGO,Limited Business License
24026,CHICAGO,Tavern
333093,CHICAGO,Limited Business License
15642,CHICAGO,Music and Dance
463651,CHICAGO,Retail Food Establishment
24075,CHICAGO,Late Hour
18636,CHICAGO,Filling Station
463678,SKOKIE,Regulated Business License
63151,CHICAGO,Tobacco
401293,CHICAGO,Retail Food Establishment
464252,CHICAGO,Peddler License
384805,CHICAGO,Retail Food Establishment
271387,CHICAGO,Motor Vehicle Services License
6072,CHICAGO,Retail Food Establishment
337162,CHICAGO,Regulated Business License
314516,CHICAGO,Retail Food Establishment
421564,LAKE IN THE HILLS,Pharmaceutical Representative
422410,JUSTICE,Regulated Business License
464247,CHICAGO,Regulated Business License
338243,CHICAGO,Limited Business License
398059,CHICAGO,Public Place of Amusement
330859,CHICAGO,Retail Food Establishment
33095,CHICAGO,Regulated Business License
9421,CHICAGO,Tavern
352028,CHICAGO,Retail Food Establishment
266867,CHICAGO,Limited Business License
398059,CHICAGO,Consumption on Premises - Incidental Activity
464297,CHICAGO,Limited Business License
402329,CHICAGO,Limited Business License
463571,CHICAGO,Regulated Business License
423018,CHICAGO,Limited Business License
17663,CHICAGO,Retail Food Establishment
386095,CHICAGO,Retail Food Establishment
464088,CHICAGO,Limited Business License
273566,CHICAGO,Retail Food Establishment
293315,CHICAGO,Late Hour
222699,CHICAGO,Consumption on Premises - Incidental Activity
14161,CHICAGO,Limited Business License
367219,CHICAGO,Retail Food Establishment
470908,CHICAGO,Pop-Up Retail User
367039,CHICAGO,Retail Food Establishment
81933,CHICAGO,Manufacturing Establishments
362556,CHICAGO,Package Goods
246209,CHICAGO,Peddler License
222071,CHICAGO,Tobacco
401152,CHICAGO,Retail Food Establishment
274494,CHICAGO,Tavern
2842,CHICAGO,Regulated Business License
401815,CHICAGO,Retail Food Establishment
44216,CHICAGO,Limited Business License
275522,CHICAGO,Limited Business License
298208,CHICAGO,Regulated Business License
463951,CHICAGO,Limited Business License
471047,CHICAGO,Pharmaceutical Representative
273681,CHICAGO,Limited Business License
463966,NEW YORK,Limited Business License
379475,CHICAGO,Consumption on Premises - Incidental Activity
422709,FRANKLIN PARK,Limited Business License
201502,CHICAGO,Limited Business License
270925,CHICAGO,Raffles
35857,CHICAGO,Motor Vehicle Services License
329052,CHICAGO,Regulated Business License
284618,CHICAGO,Limited Business License
296657,MINOOKA,Peddler License
222019,CHICAGO,Retail Food Establishment
11635,CHICAGO,Limited Business License
367703,CHICAGO,Limited Business License
50724,CHICAGO,Limited Business License
367650,CHICAGO,Animal Care License
4130,CHICAGO,Package Goods
392033,CHICAGO,Tobacco
385894,CHICAGO,Regulated Business License
15640,CHICAGO,Retail Food Establishment
